Time ,Direction
12:01:20,Forward
12:01:20,Forward
12:01:20,Forward
12:01:20,Forward
12:01:21,Forward
12:01:21,Forward
12:01:21,Forward
12:01:21,Forward
12:01:21,Forward
12:01:21,Forward
12:01:21,Forward
12:01:21,Forward
12:01:21,Forward
12:01:21,Forward
12:01:21,Forward
12:01:21,Forward
12:01:21,Forward
12:01:21,Forward
12:01:21,Forward
12:01:21,Forward
12:01:21,Forward
12:01:21,Forward
12:01:21,Forward
12:01:21,Forward
12:01:21,Forward
12:01:21,Forward
12:01:21,Forward
12:01:21,Forward
12:01:21,Forward
12:01:21,Forward
12:01:21,Forward
12:01:21,Forward
12:01:21,Forward
12:01:21,Forward
12:01:22,Forward
12:01:22,Forward
12:01:22,Forward
12:01:22,Forward
12:01:22,Forward
12:01:22,Forward
12:01:22,Forward
12:01:22,Forward
12:01:22,Forward
12:01:22,Forward
12:01:22,Forward
12:01:22,Forward
12:01:22,Forward
12:01:22,Forward
12:01:22,Forward
12:01:22,Forward
12:01:22,Forward
12:01:22,Forward
12:01:22,Forward
12:01:22,Forward
12:01:22,Forward
12:01:22,Forward
12:01:22,Forward
12:01:22,Forward
12:01:22,Forward
12:01:22,Forward
12:01:22,Forward
12:01:22,Forward
12:01:22,Forward
12:01:22,Forward
12:01:23,Forward
12:01:23,Forward
12:01:23,Forward
12:01:23,Forward
12:01:23,Forward
12:01:23,Forward
12:01:23,Forward
12:01:23,Forward
12:01:23,Forward
12:01:23,Forward
12:01:23,Forward
12:01:23,Forward
12:01:23,Forward
12:01:23,Forward
12:01:23,Forward
12:01:23,Forward
12:01:23,Forward
12:01:23,Forward
12:01:23,Forward
12:01:23,Forward
12:01:23,Forward
12:01:23,Forward
12:01:23,Forward
12:01:23,Forward
12:01:23,Forward
12:01:23,Forward
12:01:23,Forward
12:01:23,Forward
12:01:23,Forward
12:01:23,Forward
12:01:24,Forward
12:01:24,Forward
12:01:24,Forward
12:01:24,Forward
12:01:24,Forward
12:01:24,Forward
12:01:24,Forward
12:01:24,Forward
12:01:24,Forward
12:01:24,Forward
12:01:24,Forward
12:01:24,Forward
12:01:24,Forward
12:01:24,Forward
12:01:24,Forward
12:01:24,Forward
12:01:24,Forward
12:01:24,Forward
12:01:24,Forward
12:01:24,Forward
12:01:24,Forward
12:01:24,Forward
12:01:24,Forward
12:01:24,Forward
12:01:24,Forward
12:01:24,Forward
12:01:24,Forward
12:01:24,Forward
12:01:24,Forward
12:01:24,Forward
12:01:25,Forward
12:01:25,Forward
12:01:25,Forward
12:01:25,Forward
12:01:25,Forward
12:01:25,Forward
12:01:25,Forward
12:01:25,Forward
12:01:25,Forward
12:01:25,Forward
12:01:25,Forward
12:01:25,Forward
12:01:25,Forward
12:01:25,Forward
12:01:25,Forward
12:01:25,Forward
12:01:25,Forward
12:01:25,Forward
12:01:25,Forward
12:01:25,Forward
12:01:25,Forward
12:01:25,Forward
12:01:25,Forward
12:01:25,Forward
12:01:25,Forward
12:01:25,Forward
12:01:25,Forward
12:01:25,Forward
12:01:25,Forward
12:01:25,Forward
12:01:26,Forward
12:01:26,Forward
12:01:26,Forward
12:01:26,Forward
12:01:26,Forward
12:01:26,Forward
12:01:26,Forward
12:01:26,Forward
12:01:26,Forward
12:01:26,Forward
12:01:26,Forward
12:01:26,Forward
12:01:26,Forward
12:01:26,Forward
12:01:26,Forward
12:01:26,Forward
12:01:26,Forward
12:01:26,Forward
12:01:26,Forward
12:01:26,Forward
12:01:26,Forward
12:01:26,Forward
12:01:26,Forward
12:01:26,Forward
12:01:26,Forward
12:01:26,Forward
12:01:26,Forward
12:01:26,Forward
12:01:26,Forward
12:01:26,Forward
12:01:27,Forward
12:01:27,Forward
12:01:27,Forward
12:01:27,Forward
12:01:27,Forward
12:01:27,Forward
12:01:27,Forward
12:01:27,Forward
12:01:27,Forward
12:01:27,Forward
12:01:27,Forward
12:01:27,Forward
12:01:27,Forward
12:01:27,Looking Left
12:01:27,Looking Left
12:01:27,Looking Left
12:01:27,Looking Left
12:01:27,Looking Left
12:01:27,Looking Left
12:01:27,Looking Left
12:01:27,Looking Left
12:01:27,Looking Left
12:01:27,Looking Left
12:01:27,Looking Left
12:01:27,Looking Left
12:01:27,Looking Left
12:01:27,Looking Left
12:01:27,Looking Left
12:01:27,Looking Left
12:01:27,Looking Left
12:01:28,Looking Left
12:01:28,Forward
12:01:28,Forward
12:01:28,Forward
12:01:28,Forward
12:01:28,Forward
12:01:28,Forward
12:01:28,Forward
12:01:28,Forward
12:01:28,Forward
12:01:28,Forward
12:01:28,Forward
12:01:28,Forward
12:01:28,Forward
12:01:28,Forward
12:01:28,Forward
12:01:28,Forward
12:01:28,Forward
12:01:28,Forward
12:01:28,Forward
12:01:28,Forward
12:01:28,Forward
12:01:28,Forward
12:01:28,Forward
12:01:28,Forward
12:01:28,Forward
12:01:28,Forward
12:01:28,Forward
12:01:28,Forward
12:01:28,Forward
12:01:29,Forward
12:01:29,Forward
12:01:29,Forward
12:01:29,Forward
12:01:29,Forward
12:01:29,Forward
12:01:29,Forward
12:01:29,Forward
12:01:29,Forward
12:01:29,Forward
12:01:29,Forward
12:01:29,Forward
12:01:29,Forward
12:01:29,Forward
12:01:29,Forward
12:01:29,Forward
12:01:29,Forward
12:01:29,Forward
12:01:29,Forward
12:01:29,Forward
12:01:29,Forward
12:01:29,Forward
12:01:29,Forward
12:01:29,Forward
12:01:29,Forward
12:01:29,Forward
12:01:29,Forward
12:01:29,Forward
12:01:29,Forward
12:01:29,Forward
12:01:30,Looking Left
12:01:30,Looking Left
12:01:30,Looking Left
12:01:30,Looking Left
12:01:30,Looking Left
12:01:30,Looking Left
12:01:30,Looking Left
12:01:30,Looking Left
12:01:30,Looking Left
12:01:30,Looking Left
12:01:30,Looking Left
12:01:30,Looking Left
12:01:30,Looking Left
12:01:30,Looking Left
12:01:30,Looking Left
12:01:30,Looking Left
12:01:30,Looking Left
12:01:30,Looking Left
12:01:30,Looking Left
12:01:30,Looking Left
12:01:30,Looking Left
12:01:30,Looking Left
12:01:30,Forward
12:01:30,Forward
12:01:30,Forward
12:01:30,Forward
12:01:30,Forward
12:01:30,Forward
12:01:30,Forward
12:01:30,Forward
12:01:31,Forward
12:01:31,Forward
12:01:31,Forward
12:01:31,Forward
12:01:31,Forward
12:01:31,Forward
12:01:31,Forward
12:01:31,Forward
12:01:31,Forward
12:01:31,Forward
12:01:31,Forward
12:01:31,Forward
12:01:31,Forward
12:01:31,Forward
12:01:31,Forward
12:01:31,Forward
12:01:31,Forward
12:01:31,Forward
12:01:31,Forward
12:01:31,Forward
12:01:31,Looking Right
12:01:31,Looking Right
12:01:31,Looking Right
12:01:31,Looking Right
12:01:31,Looking Right
12:01:31,Looking Right
12:01:31,Looking Right
12:01:31,Looking Right
12:01:31,Looking Right
12:01:31,Looking Right
