Frame Number,standing_on_bed Probability (Yes),standing_on_bed Probability (No)
73,0.17994660139083862,0.9868236780166626
74,0.1757047325372696,0.9873825907707214
75,0.18177032470703125,0.9865406155586243
76,0.19286347925662994,0.9846128225326538
77,0.2063266932964325,0.9825893640518188
78,0.1965535283088684,0.98427814245224
79,0.20472966134548187,0.9829734563827515
80,0.21543140709400177,0.9813719987869263
81,0.2209189236164093,0.9812255501747131
82,0.2192983329296112,0.9820360541343689
83,0.2242582142353058,0.9819517731666565
84,0.22888995707035065,0.9811283349990845
85,0.22262214124202728,0.9823744297027588
86,0.21637330949306488,0.9835748672485352
87,0.21419915556907654,0.9838892221450806
88,0.20922699570655823,0.9846596717834473
89,0.22159014642238617,0.9831235408782959
90,0.22404515743255615,0.9830588102340698
91,0.22075676918029785,0.9840155839920044
92,0.2126939296722412,0.9846674203872681
93,0.20342861115932465,0.9860286116600037
94,0.20881062746047974,0.9852741956710815
95,0.21479687094688416,0.9842209815979004
96,0.22161628305912018,0.9831700921058655
97,0.20385192334651947,0.986016571521759
98,0.20148393511772156,0.9860512018203735
99,0.1992224156856537,0.9863107204437256
100,0.1956799179315567,0.986445963382721
101,0.20028327405452728,0.9851101636886597
102,0.19784893095493317,0.9848976731300354
103,0.1942734271287918,0.9849864840507507
104,0.18660227954387665,0.9857519268989563
105,0.1854923516511917,0.9857465028762817
106,0.1866946965456009,0.9858183264732361
107,0.18175745010375977,0.9866431951522827
108,0.1838398277759552,0.9868770837783813
109,0.17486347258090973,0.9883971810340881
110,0.17553426325321198,0.9885319471359253
111,0.16636890172958374,0.989464521408081
112,0.1679314821958542,0.9892582297325134
113,0.1640547811985016,0.9898203611373901
114,0.17410573363304138,0.9887296557426453
115,0.17240272462368011,0.9888193011283875
116,0.18063373863697052,0.9877892732620239
117,0.1876630187034607,0.9870411157608032
118,0.17755071818828583,0.9881282448768616
119,0.17076687514781952,0.9888685941696167
120,0.16045519709587097,0.990003764629364
121,0.15313144028186798,0.9908676147460938
122,0.152358740568161,0.9910340905189514
123,0.14904384315013885,0.9912629127502441
124,0.14856617152690887,0.9914416670799255
125,0.15265212953090668,0.9912001490592957
126,0.15091247856616974,0.9915041327476501
127,0.15200351178646088,0.9915054440498352
128,0.15212981402873993,0.9915140867233276
129,0.15802744030952454,0.990903913974762
130,0.1617821753025055,0.9905181527137756
131,0.16375911235809326,0.9903095364570618
132,0.15786230564117432,0.9911045432090759
133,0.1475161463022232,0.992159366607666
134,0.13703593611717224,0.992994487285614
135,0.1347109079360962,0.993013322353363
136,0.1319621056318283,0.9932044744491577
137,0.12778352200984955,0.9932570457458496
138,0.12361514568328857,0.9937022924423218
139,0.12632258236408234,0.993424654006958
140,0.12781397998332977,0.9933587908744812
141,0.12899239361286163,0.9930980801582336
142,0.12982545793056488,0.9930989146232605
143,0.12938471138477325,0.9930903315544128
144,0.1274125874042511,0.9934492707252502
145,0.12823611497879028,0.9934259653091431
146,0.12429089099168777,0.9939329028129578
147,0.1257830560207367,0.9937811493873596
148,0.12849918007850647,0.9935669302940369
149,0.1321711242198944,0.9933189153671265
150,0.13617125153541565,0.9928920269012451
151,0.13464973866939545,0.9930062294006348
152,0.13669344782829285,0.9928485155105591
153,0.13468961417675018,0.9929940104484558
154,0.14114144444465637,0.9925264120101929
155,0.13622120022773743,0.9928010702133179
156,0.14794336259365082,0.9916501045227051
157,0.1450628936290741,0.9917145371437073
158,0.1429148018360138,0.9916772842407227
