Duration (s),Direction
44.96666666666667,Looking Right
45.0,Looking Right
45.03333333333333,Looking Right
45.06666666666666,Looking Right
45.1,Looking Right
45.13333333333333,Looking Right
45.166666666666664,Looking Right
45.2,Looking Right
45.233333333333334,Looking Right
45.266666666666666,Forward
45.3,Forward
45.333333333333336,Looking Right
45.36666666666667,Looking Right
45.4,Looking Right
45.43333333333333,Forward
45.46666666666667,Forward
45.5,Forward
45.53333333333333,Forward
45.56666666666666,Forward
45.6,Forward
45.63333333333333,Forward
45.666666666666664,Forward
45.7,Looking Right
45.733333333333334,Looking Right
45.766666666666666,Looking Right
45.8,Looking Right
45.833333333333336,Looking Right
45.86666666666667,Looking Right
45.9,Looking Right
45.93333333333333,Looking Right
45.96666666666667,Looking Right
46.0,Looking Right
46.03333333333333,Looking Right
46.06666666666666,Looking Right
46.1,Looking Right
46.13333333333333,Looking Right
46.166666666666664,Looking Right
46.2,Looking Right
46.233333333333334,Looking Right
46.266666666666666,Forward
46.3,Looking Right
46.333333333333336,Looking Right
46.36666666666667,Looking Right
46.4,Forward
46.43333333333333,Forward
46.46666666666667,Forward
46.5,Forward
46.53333333333333,Forward
46.56666666666666,Looking Right
46.6,Looking Right
46.63333333333333,Looking Right
46.666666666666664,Forward
46.7,Forward
46.733333333333334,Forward
46.766666666666666,Forward
46.8,Forward
46.833333333333336,Forward
46.86666666666667,Forward
46.9,Forward
46.93333333333333,Forward
46.96666666666667,Forward
47.0,Forward
47.03333333333333,Forward
47.06666666666666,Forward
47.1,Forward
47.13333333333333,Forward
47.166666666666664,Forward
47.2,Forward
47.233333333333334,Forward
47.266666666666666,Forward
47.3,Forward
47.333333333333336,Forward
47.36666666666667,Forward
47.4,Forward
47.43333333333333,Forward
47.46666666666667,Forward
47.5,Forward
47.53333333333333,Forward
47.56666666666666,Forward
47.6,Forward
47.63333333333333,Forward
47.666666666666664,Forward
47.7,Forward
47.733333333333334,Forward
47.766666666666666,Forward
47.8,Forward
47.833333333333336,Forward
47.86666666666667,Forward
47.9,Forward
47.93333333333333,Forward
47.96666666666667,Forward
48.0,Forward
48.03333333333333,Forward
48.06666666666666,Forward
48.1,Forward
48.13333333333333,Forward
48.166666666666664,Forward
48.2,Forward
48.233333333333334,Forward
48.266666666666666,Forward
48.3,Looking Up
48.333333333333336,Looking Up
48.36666666666667,Looking Up
48.4,Looking Up
48.43333333333333,Looking Up
48.46666666666667,Looking Up
48.5,Looking Up
48.53333333333333,Looking Up
48.56666666666666,Looking Up
48.6,Looking Up
48.63333333333333,Looking Up
48.666666666666664,Looking Up
48.7,Looking Up
48.733333333333334,Looking Up
48.766666666666666,Looking Up
48.8,Looking Up
48.833333333333336,Looking Up
48.86666666666667,Looking Up
48.9,Looking Up
48.93333333333333,Looking Up
48.96666666666667,Looking Up
49.0,Looking Up
49.03333333333333,Looking Up
49.06666666666666,Looking Up
49.1,Looking Up
49.13333333333333,Looking Up
49.166666666666664,Looking Up
49.2,Looking Up
49.233333333333334,Looking Up
49.266666666666666,Looking Up
49.3,Looking Up
49.333333333333336,Looking Up
49.36666666666667,Looking Up
49.4,Looking Up
49.43333333333333,Looking Up
49.46666666666667,Looking Up
49.5,Looking Up
49.53333333333333,Looking Up
49.56666666666666,Looking Up
49.6,Looking Up
49.63333333333333,Looking Up
49.666666666666664,Looking Up
49.7,Looking Up
49.733333333333334,Looking Up
49.766666666666666,Looking Up
49.8,Looking Up
49.833333333333336,Looking Up
49.86666666666667,Looking Up
49.9,Looking Up
49.93333333333333,Looking Up
49.96666666666667,Looking Up
50.0,Looking Up
