Frame Number,sleeping Probability (Yes),sleeping Probability (No)
95,0.10713573545217514,0.9892781972885132
96,0.10334985703229904,0.9900604486465454
97,0.10936634987592697,0.9892216920852661
98,0.11412200331687927,0.9882633090019226
99,0.12769027054309845,0.9857170581817627
100,0.13668300211429596,0.9833992719650269
101,0.13825108110904694,0.9830279350280762
102,0.15425299108028412,0.9790495038032532
103,0.15454185009002686,0.9786191582679749
104,0.17880508303642273,0.9718850255012512
105,0.1802830845117569,0.9709689021110535
106,0.17988473176956177,0.9721759557723999
107,0.1852131336927414,0.9712269902229309
108,0.18206071853637695,0.9735923409461975
109,0.17798909544944763,0.9751265645027161
110,0.17264129221439362,0.9767760038375854
111,0.1765851080417633,0.9761189222335815
112,0.18402735888957977,0.9744564294815063
113,0.17601770162582397,0.9767506122589111
114,0.16922825574874878,0.9787799119949341
115,0.1755528450012207,0.9775598049163818
116,0.17368072271347046,0.977971613407135
117,0.1775321066379547,0.9772812724113464
118,0.17610079050064087,0.9773222208023071
119,0.1627034991979599,0.980463445186615
120,0.14909131824970245,0.9829282164573669
121,0.14193305373191833,0.9841445684432983
122,0.15618079900741577,0.9814472198486328
123,0.1577293574810028,0.9809178113937378
124,0.16631922125816345,0.9788493514060974
125,0.16516299545764923,0.9790970683097839
126,0.17482028901576996,0.9768036603927612
127,0.18834437429904938,0.9738374948501587
128,0.19538556039333344,0.9722384214401245
129,0.19949601590633392,0.9713495969772339
130,0.2149888277053833,0.9679092168807983
131,0.22156988084316254,0.9663599133491516
132,0.22801871597766876,0.965336799621582
133,0.21592122316360474,0.9695615768432617
134,0.21093665063381195,0.9709956049919128
135,0.21672196686267853,0.9693588018417358
136,0.20392745733261108,0.9719991087913513
137,0.1978914588689804,0.9729011654853821
138,0.1913297474384308,0.9743714332580566
139,0.20786096155643463,0.9704840779304504
140,0.1997801661491394,0.9728755950927734
141,0.19452732801437378,0.9741378426551819
142,0.19828388094902039,0.9730183482170105
143,0.18289345502853394,0.9768014550209045
144,0.1694450080394745,0.9800800681114197
145,0.15927553176879883,0.9820134043693542
146,0.14818108081817627,0.9844144582748413
147,0.14174428582191467,0.9855733513832092
148,0.12744298577308655,0.987899899482727
149,0.11980921775102615,0.9890648126602173
150,0.12160411477088928,0.9886464476585388
151,0.12433040142059326,0.9881294965744019
152,0.13623760640621185,0.9863945245742798
153,0.12968692183494568,0.9875451922416687
154,0.13180778920650482,0.9872061014175415
155,0.13958640396595,0.9856387972831726
156,0.12571890652179718,0.9877893924713135
157,0.12120553851127625,0.9884557723999023
158,0.12587758898735046,0.9874781370162964
