Frame Number,Moods
79,"[['calm', 0.4488499164581299], ['sad', 0.3429449498653412], ['happy', 0.13236838579177856], ['sleeping', 0.05778399482369423], ['tired', 0.05468309298157692]]"
80,"[['calm', 0.45797300338745117], ['sad', 0.343829482793808], ['happy', 0.13368839025497437], ['tired', 0.05818818509578705], ['sleeping', 0.05381973460316658]]"
81,"[['calm', 0.47287118434906006], ['sad', 0.3550654351711273], ['happy', 0.13720934092998505], ['tired', 0.05846570432186127], ['angry', 0.05179759860038757]]"
82,"[['calm', 0.4784456193447113], ['sad', 0.36996352672576904], ['happy', 0.14451737701892853], ['angry', 0.05930458381772041], ['tired', 0.05915379524230957]]"
83,"[['calm', 0.47595202922821045], ['sad', 0.3664289712905884], ['happy', 0.15031766891479492], ['tired', 0.0565544031560421], ['angry', 0.05467084422707558]]"
84,"[['calm', 0.47438183426856995], ['sad', 0.3769088387489319], ['happy', 0.14928700029850006], ['angry', 0.060770437121391296], ['tired', 0.05675310268998146]]"
85,"[['calm', 0.47286707162857056], ['sad', 0.36259350180625916], ['happy', 0.1490621268749237], ['tired', 0.05575262010097504], ['angry', 0.05213794484734535]]"
86,"[['calm', 0.46590456366539], ['sad', 0.34816569089889526], ['happy', 0.16027970612049103], ['angry', 0.054793912917375565], ['tired', 0.05298597365617752]]"
87,"[['calm', 0.4605967402458191], ['sad', 0.35557106137275696], ['happy', 0.15397964417934418], ['angry', 0.05518833175301552], ['tired', 0.048973944038152695]]"
88,"[['calm', 0.4748733937740326], ['sad', 0.37085801362991333], ['happy', 0.1483222395181656], ['angry', 0.0564560666680336], ['tired', 0.048479821532964706]]"
89,"[['calm', 0.4846641719341278], ['sad', 0.37363508343696594], ['happy', 0.14575918018817902], ['angry', 0.07126353681087494], ['tired', 0.04859446361660957]]"
90,"[['calm', 0.4842868745326996], ['sad', 0.383554071187973], ['happy', 0.13768434524536133], ['angry', 0.08121537417173386], ['serious', 0.05047432333230972]]"
91,"[['calm', 0.510047435760498], ['sad', 0.3932064473628998], ['happy', 0.1363382339477539], ['angry', 0.08090377599000931], ['serious', 0.05468370020389557]]"
92,"[['calm', 0.5319105982780457], ['sad', 0.40522852540016174], ['happy', 0.13097050786018372], ['angry', 0.08858012408018112], ['serious', 0.06502953916788101]]"
93,"[['calm', 0.5349938869476318], ['sad', 0.4037868082523346], ['happy', 0.12639382481575012], ['angry', 0.08153946697711945], ['serious', 0.06605754792690277]]"
94,"[['calm', 0.5551026463508606], ['sad', 0.40296587347984314], ['happy', 0.12161008268594742], ['angry', 0.08542570471763611], ['serious', 0.07341524213552475]]"
95,"[['calm', 0.5471343994140625], ['sad', 0.3910216987133026], ['happy', 0.11637980490922928], ['angry', 0.08186591416597366], ['serious', 0.07333526015281677]]"
96,"[['calm', 0.5533302426338196], ['sad', 0.38748154044151306], ['happy', 0.11489346623420715], ['angry', 0.07666366547346115], ['serious', 0.07548263669013977]]"
97,"[['calm', 0.5605468153953552], ['sad', 0.39720481634140015], ['happy', 0.11007557064294815], ['angry', 0.08391120284795761], ['serious', 0.08180343359708786]]"
98,"[['calm', 0.5525515675544739], ['sad', 0.4071936309337616], ['happy', 0.10042010247707367], ['angry', 0.07829264551401138], ['serious', 0.07614114880561829]]"
99,"[['calm', 0.5532808303833008], ['sad', 0.3968580663204193], ['happy', 0.10364270210266113], ['serious', 0.07788368314504623], ['angry', 0.0773295909166336]]"
100,"[['calm', 0.5419804453849792], ['sad', 0.3805602788925171], ['happy', 0.1045692190527916], ['angry', 0.07499347627162933], ['serious', 0.07495784014463425]]"
101,"[['calm', 0.545530378818512], ['sad', 0.36860227584838867], ['happy', 0.10874699056148529], ['angry', 0.07962951064109802], ['serious', 0.07627085596323013]]"
102,"[['calm', 0.5378627777099609], ['sad', 0.3709429204463959], ['happy', 0.10683633387088776], ['angry', 0.08284921199083328], ['serious', 0.07570777833461761]]"
103,"[['calm', 0.5255188345909119], ['sad', 0.3675873875617981], ['happy', 0.10519476234912872], ['angry', 0.080572210252285], ['serious', 0.07382974028587341]]"
104,"[['calm', 0.5371235609054565], ['sad', 0.37247151136398315], ['happy', 0.09886214137077332], ['angry', 0.08755259960889816], ['serious', 0.07889208197593689]]"
